"actor_id","actor_name"
1,"A. Galak"
2,"A. Nauvah Patdjangi"
3,"A. Odyssey Sanco"
4,"A. Thesar Resandy"
5,"Aaron Ashab"
6,"Aaron Hart"
7,"Abah Dakar"
8,"Abah Yongki"
9,"Abah Yusef"
10,"Abarrane Issabeau"
11,"Abas Bridil"
12,"Abbi Ibrahim"
13,"Abdel Achrian"
14,"Abdelaziz Chakhlany"
15,"Abdelhalim Benbachouch"
16,"Abdellah Bensaid"
17,"Abdiku Putra"
18,"Abdul Arif"
19,"Abdul Marjuki"
20,"Abdul Rachman Hidayat"
21,"Abdul Rodjak"
22,"Abdul Roni"
23,"Abdullah Faiz"
24,"Abdur Arsyad"
25,"Abdurrahaman"
26,"Abdurrahman Arif"
27,"Abdurrohman"
28,"Abe Rahman"
29,"Abeliano Tamala"
30,"Abenk Marco"
31,"Abey Ghifran"
32,"Abhie Canser"
33,"Abi Bayu"
34,"Abi Cancer"
35,"Abi Kartubi"
36,"Abi Manyu Prayoga"
37,"Abidzar Al Ghifari"
38,"Abielo Parengkuan"
39,"Abigal Siswo"
40,"Abimana Aryasatya"
41,"Abimanyu"
42,"Abio Abie"
43,"Abirama Putra A."
44,"Abiyyu Barakbah"
45,"Abizar"
46,"Abizars"
47,"Abraham Parluhutan Pagabean"
48,"Abrar"
49,"Abu"
50,"Abun Hadi"
51,"Abun Sungkar"
52,"Aby Fahrizal"
53,"Acha Septriasa"
54,"Acha Sinaga"
55,"Achmad"
56,"Achmad Agus Budi"
57,"Achmad Albar"
58,"Achmad Megantara"
59,"Achmad Riyanto"
60,"Aci Resti"
61,"Acil Mas"
62,"Acintyaswati Widianing"
63,"Aco"
64,"Acriy Kalvalidata"
65,"Acul"
66,"Ada Band"
67,"Adam"
68,"Adam Farrel"
69,"Adam Jackson"
70,"Adam Jagwani"
71,"Adam Jordan"
72,"Adam Radja"
73,"Adam Salah Qaburi"
74,"Adam Tanzio Manggal"
75,"Adam Xavier"
76,"Addin Hidayat"
77,"Ade Ayu"
78,"Ade Cloering"
79,"Ade Dora"
80,"Ade Firman Hakim"
81,"Ade Firza Paloh"
82,"Ade Gusti"
83,"Ade Habibie"
84,"Ade Irawan"
85,"Ade Jigo"
86,"Ade Kurniawan"
87,"Ade Nila A."
88,"Ade Surya Akbar"
89,"Ade Yunita Hutagaol"
90,"Adeayu Sudrajat"
91,"Adelia"
92,"Adelia Rasya"
93,"Adella Fauzi"
94,"Aden Bajaj"
95,"Adenin Adlan"
96,"Adetriyan"
97,"Adhe M.P.J."
98,"Adhelheid Bunga W."
99,"Adhi Pawitra"
100,"Adhie August"
101,"Adhin Abdul Hakim"
102,"Adhisastro"
103,"Adhisty Zara"
104,"Adhitya"
105,"Adhitya Alkatiri"
106,"Adhitya P."
107,"Adhitya Putri"
108,"Adhy Basto"
109,"Adhy Suhindra Rachman"
110,"Adhytia Permana Putra"
111,"Adi Adwardhy"
112,"Adi Arkiang"
113,"Adi Bing Slamet"
114,"Adi Dwi Permana"
115,"Adi Irwandi"
116,"Adi Kurdi"
117,"Adi Marsono"
118,"Adi Nugroho"
119,"Adi Sudirja"
120,"Adi Wahyu"
121,"Adiba Khanza"
122,"Adiezty Fersa"
123,"Adil Ibra"
124,"Adil Luca"
125,"Adilla Fitri"
126,"Adilla Putri"
127,"Adinda Azani"
128,"Adinda Breton"
129,"Adinda Cresheilla"
130,"Adinda Dei"
131,"Adinda Divia"
132,"Adinda Fudia Hanamici"
133,"Adinda Gabby"
134,"Adinda Halona"
135,"Adinda Rizkyana"
136,"Adinda Thomas"
137,"Adinegoro Natsir"
138,"Adinia Wirasti"
139,"Adipati Dolken"
140,"Adiratna Prayitno"
141,"Adit"
142,"Adit Insomnia"
143,"Adithia Felani"
144,"Aditya"
145,"Aditya Arif"
146,"Aditya Bagus Sambada"
147,"Aditya Bagus Santosa"
148,"Aditya Danudja"
149,"Aditya Firmansyah"
150,"Aditya Lakon"
151,"Aditya Novika"
152,"Aditya Nugraha Putra"
153,"Aditya Nugroho"
154,"Aditya Rino"
155,"Aditya Sarwi Aji"
156,"Aditya Suryo"
157,"Aditya Zoni"
158,"Adityasta Reynand"
159,"Adityawarman"
160,"Adjie N.A."
161,"Adjie Nur Ahmad"
162,"Adjie Pangestu"
163,"Adjis Doaibu"
164,"Adjunct Officer"
165,"Adli Manoppo"
166,"Adlu Fahrezi"
167,"Adly Fayruz"
168,"Adnan Djani"
169,"Adri Prasetyo"
170,"Adrian"
171,"Adrian Alim"
172,"Adrian Aliman"
173,"Adrian Dima"
174,"Adrian Dwiputra"
175,"Adrian Mattheis"
176,"Adrian Simon"
177,"Adrian Subono"
178,"Adriano Qalbi"
179,"Adrianto Sinaga"
180,"Adrina Puteri Syarira"
181,"Adry Wicaksono"
182,"Adryos Prewandha"
183,"Adshkan Mankes"
184,"Adskhan Mahres"
185,"Adul"
186,"Advina Ratnanigsih"
187,"Ady Sky"
188,"Adyano Rafi Bevan Putra"
189,"Adzana Ashel"
190,"Adzana Bing Slamet"
191,"Adzando Davema"
192,"Adzwa Aurell"
193,"Adzwa Aurelline"
194,"Aelke Mariska"
195,"Aep Bancet"
196,"Aep Dadang"
197,"Aep Statham"
198,"Afdhal Yusman"
199,"Afdi Idris"
200,"Afgansyah Reza"
201,"Afif Xavi"
202,"Afifah Ifahnda"
203,"Afiqah"
204,"Afisan Jehderamae"
205,"Afrian Aris"
206,"Afrian Arisandy"
207,"Afril Sabyan"
208,"Afrilia Mustika Sari"
209,"Afrizal"
210,"Afrizal Anoda"
211,"Aga Dirgantara"
212,"Agam Fazri"
213,"Agastya Kandou"
214,"Agata Megumi"
215,"Agatha Chelsea"
216,"Agatha Pricilla"
217,"Agatha Valerie"
218,"Agesh Palmer"
219,"Aghi Narottama"
220,"Aghniny Haque"
221,"Agla Artalidia"
222,"Agnes Bau Mali"
223,"Agnes Naomi"
224,"Agnes Natasya Tjie"
225,"Agni Pratistha"
226,"Agobowo"
227,"Agoes Kencrot"
228,"Agon"
229,"Agra Piliang"
230,"Agra Svarnabhumi"
231,"Agri Firdaus"
232,"Agung Ayu"
233,"Agung Bagus Peliatan"
234,"Agung Bla"
235,"Agung Budi"
236,"Agung Endhyatmoko"
237,"Agung Hercules"
238,"Agung Isya Almasie Benu"
239,"Agung Karmalogy"
240,"Agung Puncak"
241,"Agung Putro Setyo"
242,"Agung Saga"
243,"Agung Sentausa"
244,"Agung Surya Putra"
245,"Agung Udijana"
246,"Agus"
247,"Agus Budi Raharja"
248,"Agus Cholid"
249,"Agus Firmansyah"
250,"Agus Julian"
251,"Agus Kencrot"
252,"Agus Kuncoro"
253,"Agus Lemu Radia"
254,"Agus Mahesa"
255,"Agus Mulyadi"
256,"Agus Nur Amal"
257,"Agus Pandji"
258,"Agus Rahman"
259,"Agus Riyanto"
260,"Agus Utomo"
261,"Agus Wenda"
262,"Agus Wibowo"
263,"Agustin Taidy"
264,"Agustina Palamba"
265,"Agustina Tosi"
266,"Ahkmad Safyadi H."
267,"Ahmad Affandy"
268,"Ahmad Afifudin"
269,"Ahmad Andaru"
270,"Ahmad Dhahnial"
271,"Ahmad Nur Rohman"
272,"Ahmad Pule"
273,"Ahmad Raji Al Khan"
274,"Ahmad Ramadhan"
275,"Ahmad Rofick A."
276,"Ahmad Sahroni"
277,"Ahmad Setiadi"
278,"Ahmad Susantri"
279,"Ahmad Syafei"
280,"Ahmad Syaifullah"
281,"Ahmad Tamimi Siregar"
282,"Ahmad Zaki"
283,"Ahmad Zulhoir Mardia"
284,"Ahmadi"
285,"Ahmadulloh"
286,"Ahmat Sofyan"
287,"Ahmed Allayeh"
288,"Aida Alifisina"
289,"Aida Cabiyeva"
290,"Aida Demimor"
291,"Aida Nurmala"
292,"Aida Saskia"
293,"Aidil Adha"
294,"Aidil Syahputra"
295,"Aiko Sarwosri"
296,"Aiman Faisal"
297,"Aimee"
298,"Aimee Janice"
299,"Aimee Juliette"
300,"Aimee Saras"
301,"Aina Nisa"
302,"Ainun Masyita"
303,"Ainun N."
304,"Aira Lubna"
305,"Aira Sondang"
306,"Airis Yasmin"
307,"Aisha"
308,"Aisha Nurra Datau"
309,"Aisya Maharani"
310,"Aisyah Aqilah"
311,"Aisyah K.L."
312,"Ajat"
313,"Ajeng"
314,"Ajeng Fauziah"
315,"Ajeng Giona"
316,"Ajeng Kraton"
317,"Ajeng Sharfina"
318,"Ajeng Suseno"
319,"Aji Betawi"
320,"Aji Fernandez"
321,"Aji Santosa"
322,"Aji Setiaji"
323,"Ajibonkna"
324,"Ajier"
325,"Ajik Dewa"
326,"Ajil Ditto"
327,"Ajul Jiung"
328,"Ajun Perwira"
329,"Akbar"
330,"Akbar Ajudan Pribadi"
331,"Akbar Indian"
332,"Akbar Kobar"
333,"Akbar Longdong"
334,"Akbar Nasdar"
335,"Akbarry Noor"
336,"Akja Damara"
337,"Akmal Mustapha"
338,"Akpovi Esther"
339,"Akrabarka"
340,"Akri Patrio"
341,"Aksara Dena"
342,"Akun Gege Nugros"
343,"Akyla"
344,"Al Daffa Fauzan"
345,"Al Fathan Fadhil Muazam"
346,"Al Ghazali"
347,"Al Razief Pandaya"
348,"Al Vicente"
349,"Alaa Nashat Ahmed"
350,"Alam"
351,"Alam Jaelani Setiawan"
