"imdb_id","actor_id"
"tt9048030",1
"tt27882824",2
"tt31032022",3
"tt8842380",4
"tt11644218",5
"tt11646170",5
"tt15484488",6
"tt11013610",7
"tt22771994",7
"tt10645308",8
"tt10556402",8
"tt10916168",9
"tt10015812",10
"tt1286654",11
"tt7472366",12
"tt38734007",13
"tt10656222",14
"tt10656230",14
"tt10656222",15
"tt10656230",15
"tt10656222",16
"tt10656230",16
"tt33244849",17
"tt9209390",18
"tt37578527",19
"tt33362918",20
"tt31145648",21
"tt31109483",21
"tt20595798",22
"tt2668952",23
"tt30476511",24
"tt7777974",24
"tt5605508",24
"tt6366854",24
"tt11799784",24
"tt21619378",24
"tt7340660",24
"tt13606090",24
"tt11646308",24
"tt20765928",24
"tt8512320",24
"tt16288970",24
"tt5787348",24
"tt15711508",24
"tt11634350",24
"tt9490972",24
"tt13958028",24
"tt11936544",24
"tt4966450",25
"tt7885874",26
"tt9000302",26
"tt10643938",26
"tt1245731",26
"tt33095211",26
"tt2156366",26
"tt26903085",26
"tt1791542",26
"tt15763878",26
"tt13555930",26
"tt10462650",26
"tt6574480",26
"tt38221401",26
"tt35486465",26
"tt1507341",26
"tt23857646",26
"tt3813456",26
"tt1385921",26
"tt13580706",26
"tt13550666",26
"tt1748192",26
"tt19072936",27
"tt24546804",28
"tt26505553",28
"tt33244849",29
"tt9511256",30
"tt27147775",31
"tt8520966",32
"tt11754464",33
"tt10262522",34
"tt13540506",35
"tt28091616",36
"tt35295730",37
"tt13642366",37
"tt12224378",37
"tt28363725",37
"tt31145807",38
"tt30400709",39
"tt8237172",40
"tt15528292",40
"tt6116856",40
"tt8765496",40
"tt6209474",40
"tt5882398",40
"tt6096424",40
"tt7941934",40
"tt1537898",40
"tt2251772",40
"tt2072940",40
"tt5199156",40
"tt2424752",40
"tt7158514",40
"tt8250786",40
"tt14807282",40
"tt2205482",40
"tt4580370",40
"tt2451346",40
"tt1293629",40
"tt1657339",40
"tt8065816",40
"tt5195842",40
"tt5587488",40
"tt9558490",40
"tt2015332",40
"tt3032182",40
"tt23135750",41
"tt13150254",42
"tt1229786",42
"tt9033440",42
"tt18972098",43
"tt13886688",43
"tt20873498",43
"tt32569446",43
"tt31592660",44
"tt13886688",44
"tt35048973",44
"tt30876746",44
"tt31851707",44
"tt28761983",44
"tt27532058",44
"tt1445022",45
"tt2073058",46
"tt10655922",47
"tt1987569",48
"tt26505553",48
"tt5863772",49
"tt32424407",49
"tt10485396",49
"tt11804076",50
"tt14949656",50
"tt11470064",51
"tt29516834",51
"tt28005338",51
"tt22507760",51
"tt16296224",51
"tt10998004",51
"tt35052078",51
"tt18163648",51
"tt14403244",51
"tt33079321",51
"tt32023078",52
"tt9165634",53
"tt4379102",53
"tt6096424",53
"tt13728764",53
"tt6908176",53
"tt19360804",53
"tt5774688",53
"tt5799566",53
"tt11313944",53
"tt5882416",53
"tt9198814",53
"tt9125746",53
"tt2455368",53
"tt1479266",53
"tt27011486",53
"tt6209474",53
"tt1657400",53
"tt2902646",53
"tt38034889",53
"tt2773732",53
"tt6486134",53
"tt11841132",53
"tt32433566",53
"tt10640384",53
"tt18948502",53
"tt1631817",53
"tt5917494",53
"tt5587488",53
"tt1190130",53
"tt1860276",53
"tt9558490",53
"tt5195842",53
"tt1190120",53
"tt27648485",53
"tt18372304",53
"tt9033416",54
"tt1945106",55
"tt21372280",56
"tt2343044",57
"tt8690956",58
"tt10768346",58
"tt11013610",58
"tt10930558",58
"tt10613796",58
"tt22771994",58
"tt9481776",58
"tt11912692",58
"tt9789266",58
"tt38034889",58
"tt27411059",58
"tt31173479",59
"tt9033464",60
"tt27433995",60
"tt10932100",60
"tt18748928",60
"tt8065772",60
"tt8233368",60
"tt7777974",60
"tt8297042",60
"tt12868184",60
"tt35668447",60
"tt6426714",60
"tt10795930",60
"tt21429366",61
"tt8077382",62
"tt1945106",63
"tt1190088",64
"tt20673668",65
"tt8880844",66
"tt32441030",67
"tt33513545",68
"tt29243069",68
"tt1692957",68
"tt33355143",68
"tt2343044",68
"tt15770552",68
"tt39028066",68
"tt10613796",68
"tt2285477",68
"tt1591001",69
"tt19360804",69
"tt8669070",70
"tt10290062",70
"tt1859566",71
"tt14051728",72
"tt33512869",73
"tt18884826",74
"tt2343044",75
"tt23711548",76
"tt8590936",77
"tt11013610",78
"tt2316410",79
"tt10656188",80
"tt5946974",80
"tt4713884",80
"tt10656212",80
"tt11013850",80
"tt4379102",80
"tt8571716",80
"tt10478036",80
"tt10284716",80
"tt3069954",80
"tt10643906",80
"tt8492176",80
"tt9253760",80
"tt1288645",81
"tt2172015",81
"tt11075364",82
"tt2455368",83
"tt9231140",84
"tt32351596",85
"tt1984199",86
"tt2902708",87
"tt1495817",88
"tt8747102",89
"tt6486164",89
"tt9160672",90
"tt34185010",91
"tt35111036",92
"tt6908176",92
"tt1537862",92
"tt33047058",92
"tt1495719",92
"tt1718856",92
"tt1318896",92
"tt2551500",93
"tt18938680",94
"tt36589006",94
"tt14716556",94
"tt10324148",94
"tt2316564",94
"tt1555923",95
"tt31079741",96
"tt27882824",97
"tt9581978",98
"tt18436986",98
"tt37021158",98
"tt1726076",99
"tt5598332",100
"tt10883272",101
"tt27648500",101
"tt37344163",101
"tt9590188",101
"tt29941083",101
"tt11799742",101
"tt18989582",101
"tt3032254",102
"tt10656188",103
"tt18291774",103
"tt7843946",103
"tt7885874",103
"tt10495746",103
"tt10975730",103
"tt13612172",103
"tt33095211",103
"tt14403244",103
"tt11470064",103
"tt36461739",103
"tt34606028",103
"tt13580706",103
"tt28454007",103
"tt33079321",103
"tt37330944",103
"tt10544980",104
"tt33244849",105
"tt10661952",105
"tt9033440",105
"tt7094790",105
"tt34984721",106
"tt11646202",107
"tt28005338",107
"tt10495074",107
"tt1286647",107
"tt3032254",107
"tt27882824",108
"tt8894180",109
"tt29632632",110
"tt10651304",111
"tt20765928",112
"tt27411059",113
"tt39018552",114
"tt1791519",115
"tt1657422",116
"tt11799790",116
"tt11906860",116
"tt2912310",116
"tt8517236",116
"tt4291436",116
"tt6135094",116
"tt3712504",116
"tt1239445",116
"tt5693776",116
"tt36459622",117
"tt4186170",117
"tt25875858",117
"tt11749980",118
"tt7144986",118
"tt9537064",118
"tt8483452",118
"tt36926222",119
"tt35936906",119
"tt2354124",120
"tt19366946",121
"tt15839124",122
"tt7541708",123
"tt36820598",123
"tt23807292",124
"tt26751365",124
"tt26740948",124
"tt10645356",125
"tt11804076",125
"tt26347570",125
"tt32915470",125
"tt31262452",125
"tt11644218",125
"tt5734266",125
"tt33240625",126
"tt8798274",127
"tt21429366",127
"tt20873498",128
"tt35622079",129
