"imdb_id","title","rating_imdb","rating_count","storyline","certificates","release_date","duration_min","imdb_url_film","url_poster"
"tt2265171","Serbuan maut 2: Berandal",7.9,138100,"He thought it was over. After fighting his way out of a building filled with gangsters and madmen - a fight that left the bodies of police and gangsters alike piled in the halls - rookie Jakarta cop Rama thought it was done and he could resume a normal life. He couldn't have been more wrong. Formidable though they may have been, Rama's opponents in that fateful building were nothing more than small fish swimming in a pond much larger than he ever dreamed possible. And his triumph over the small fry has attracted the attention of the predators farther up the food chain. His family at risk, Rama has only one choice to protect his infant son and wife: He must go undercover to enter the criminal underworld himself and climb through the hierarchy of competing forces until it leads him to the corrupt politicians and police pulling the strings at the top of the heap. And so Rama begins a new odyssey of violence, a journey that will force him to set aside his own life and history and take on a new identity as the violent offender ""Yuda."" In prison he must gain the confidence of Uco - the son of a prominent gang kingpin - to join the gang himself, laying his own life on the line in a desperate all-or-nothing gambit to bring the whole rotten enterprise to an end.","Rated R for sequences of strong bloody violence throughout, sexuality and language",2014-04-11,150,"https://www.imdb.com/title/tt2265171/?ref_=sr_t_143","https://www.imdb.com/title/tt2265171/mediaviewer/rm3810042369/?ref_=tt_ov_i"
"tt5821664","Istirahatlah Kata-Kata",7.3,286,"Wiji Thukul, a well-known poet, is designed as a suspect activist. With the police looking for him, Wiji is forced to leave Solo for Borneo, thousands of kilometers away.","TV-MA",2017-01-19,97,"https://www.imdb.com/title/tt5821664/?ref_=sr_t_340","https://www.imdb.com/title/tt5821664/mediaviewer/rm3338550784/?ref_=tt_ov_i"
"tt6116856","The Night Comes for Us",6.9,32299,"Ito, a gangland enforcer, is caught amidst a treacherous and violent insurrection within his Triad crime family upon his return home from a stint abroad.","TV-MA",2018-10-19,121,"https://www.imdb.com/title/tt6116856/?ref_=sr_t_509","https://www.imdb.com/title/tt6116856/mediaviewer/rm4170087680/?ref_=tt_ov_i"
"tt7076834","Pengabdi Setan",6.5,13300,"The family of Rini is financially broken and she lives with her father, her mother that is ill, her grandmother that is crippled, and her brothers Tony, Bondi and the mute six year-old Ian in an old house in the countryside nearby a cemetery. Her mother, who was a successful singer, is dying from a mysterious disease and her father does not have money to support the family. When her mother dies, her father needs to travel to the city to sell the house and weird things happen in the house. The skeptical Rini befriends Hendra, son of the religious Ustadz, and they learn that her mother was infertile and joined a cult that worships Satan to have children. And now, when Ian will be seven, they will take the boy with them. What can they do to protect Ian? —Claudio Carvalho, Rio de Janeiro, Brazil","Not Rated",2017-09-28,107,"https://www.imdb.com/title/tt7076834/?ref_=sr_t_704","https://www.imdb.com/title/tt7076834/mediaviewer/rm3806012160/?ref_=tt_ov_i"
"tt1190160","Susahnya Jadi Perawan",4.6,17,,"-",2008-01-03,90,"https://www.imdb.com/title/tt1190160/?ref_=sr_t_1373","https://www.imdb.com/title/tt1190160/mediaviewer/rm647642880/?ref_=tt_ov_i"
"tt1899353","Serbuan maut",7.6,228500,"In Jakarta, Indonesia, Lieutenant Wahyu organizes the invasion of an apartment building that is the safe house of the powerful and cruel drug lord Tama and his gang. The SWAT team breaks in the building but one lookout sees and warns the gangsters and the police force is trapped on the seventh floor. They learn that Lt. Wahyu has not informed his superiors about the operation. Now the police officers have to fight with limited ammunition against the armed and dangerous gangsters. —Claudio Carvalho, Rio de Janeiro, Brazil","Rated R for strong brutal bloody violence throughout, and language",2012-04-13,101,"https://www.imdb.com/title/tt1899353/?ref_=sr_t_217","https://www.imdb.com/title/tt1899353/mediaviewer/rm1278531073/?ref_=tt_ov_i"
"tt11013610","KKN di Desa Penari",5.9,3000,"A man known as Simpleman, got a scary story. Starting from 5 students who had to carry out KKN in a remote village, Nur (Tissa Biani), Widya (Adinda Thomas), Ayu (Aghniny Haque), Bima (Achmad Megantara), Anton (Calvin Jeremy) and Wahyu (M. Fajar Nugraga) never thought that the village they chose was not an ordinary village. Pak Prabu (Kiki Narendra) the village head warns them not to cross the boundary of the forbidden gate, a gate leading to the footprint. The mysterious place may have something to do with the figure of a beautiful dancer who began to disturb Nur and also Widya. One by one began to feel the strangeness of the village. Bima began to change his attitude. Their KKN program is a mess, it seems that the unseen inhabitants of the village don't like them. Nur finally found an astonishing fact that one of them violated the most fatal rules in the village. The terror of the mysterious dancer figure became even more frightening, they tried to ask the help of Mbah Buyut (Diding Boneng) the local shaman, but it was too late, they threatened they would not be able to return safely from the village known as the dancer's village.","-",2022-04-30,130,"https://www.imdb.com/title/tt11013610/?ref_=sr_t_971","https://www.imdb.com/title/tt11013610/mediaviewer/rm2714311937/?ref_=tt_ov_i"
"tt33479839","Pengepungan di Bukit Duri",6.5,2500,"In the midst of the turbulent conditions of Indonesian society in 2027 that are on the verge of collapse, Edwin faces a fight for survival when the school where he teaches suddenly turns into a life-and-death battle triggered by discrimination and racial hatred.","TV-MA",2025-08-15,118,"https://www.imdb.com/title/tt33479839/?ref_=sr_t_708","https://www.imdb.com/title/tt33479839/mediaviewer/rm1034851330/?ref_=tt_ov_i"
"tt27433995","Jumbo",8,3500,"Desperate to prove to his peers that he's more than a chubby kid that never wins at anything, little Don wishes to win his local talent show by performing a stage play inspired from a story book written by his late parents. When unfortunately a bully stole that book, at the same time a little ghost appeared from the spirit world asking for Don's help to reunite her with her parents' spirits. The two new friends then embark on an exciting adventure to help each other and learn the true meaning of friendship.","TV-PG",2025-12-25,102,"https://www.imdb.com/title/tt27433995/?ref_=sr_t_123","https://www.imdb.com/title/tt27433995/mediaviewer/rm1303612162/?ref_=tt_ov_i"
"tt31592660","Sumala",5.8,1500,"Unbeknownst to her husband Soedjiman, Sulastri made a pact with the devil so that she could have children. She gave birth to twins, Kumala who survived and Sumala who died, Kumala grew up to be a kind child but physically and mentally disabled, she often received bad treatment from the people around her. One day Sumala came from the world of the dead and made a reckoning with those who had hurt Kumala.","TV-MA",2025-02-06,112,"https://www.imdb.com/title/tt31592660/?ref_=sr_t_1008","https://www.imdb.com/title/tt31592660/mediaviewer/rm1768451841/?ref_=tt_ov_i"
