"company_id","company_name"
1,"2Pilots Filmproduction"
2,"4ward Pictures"
3,"A&Z Films"
4,"Absolute Pictures"
5,"Acrobates Films"
6,"Add Word Productions"
7,"Adglow Pictures"
8,"Adhya Group"
9,"Adhya Pictures"
10,"Adroit Indonesia"
11,"Advertising Sabah"
12,"Aenigma Picture"
13,"Afici Entertainment"
14,"AIM Production"
15,"Air Films"
16,"Akanga Film Productions"
17,"Akasacara Film"
18,"AKS Co."
19,"Aksa Bumi Langit"
20,"Alamanda Production"
21,"Alenia Pictures"
22,"Aletta Pictures"
23,"Alimi Pictures"
24,"Alkimia Production"
25,"Amadeus Sinemagna"
26,"Amalina Pictures"
27,"Aman Palestin"
28,"Amazon MGM Studios"
29,"AMG Rustanto Production"
30,"Ampuh Entertainment"
31,"Anak Bangsa Berkreasi"
32,"Anak Bangsa Pictures"
33,"Anak Muda Jago Films"
34,"Anak Negeri Films"
35,"Anami Films"
36,"Andolfi"
37,"Angka Fortuna Sinema"
38,"ANP Films"
39,"Apollo Pictures"
40,"Applecross"
41,"Applecross Production Indonesia"
42,"Arcadia Productions"
43,"Archipelago Pictures"
44,"Ardan Radio"
45,"Ardhanary Institute"
46,"Arendi"
47,"Argi Film"
48,"Arjuna Mega Films"
49,"Armani Entertainment"
50,"Art2tonic"
51,"Artomoro Pictures"
52,"Asa Film"
53,"Astral Pictures"
54,"Astro Shaw"
55,"Aurora Films"
56,"Awan Sinema Kreasi"
57,"Azoo Project"
58,"Babibutafilm"
59,"Badan Otorita Danau Toba (BODT)"
60,"Bahagia Pictures"
61,"Bahagia Tanpa Drama"
62,"Balai Pustaka"
63,"Bali Bumerang Films"
64,"Bamboom"
65,"Banda Terra Studio Production"
66,"Bangun Pagi Pictures"
67,"Baraka Pictures"
68,"Barunson E&A"
69,"Base Entertainment"
70,"Batavia Pictures"
71,"Bawana Entertainment"
72,"BC Entertainment"
73,"Beacon Films (III)"
74,"Beehave Pictures"
75,"Bentang Pictures"
76,"Bersahaja"
77,"Bersahaja Entertainment"
78,"Bert Pictures"
79,"Besinema"
80,"Beyoutiful Pictures"
81,"Bianglala Entertainment"
82,"BIC Pictures"
83,"Bic Productions"
84,"Big Pictures"
85,"Big Pictures Production"
86,"Bintang Cahaya Sinema"
87,"Bintang Pictures"
88,"Bion Studios"
89,"Black Horse Pictures"
90,"Black Spade Productions"
91,"Blibli"
92,"Blue Caterpillar Films"
93,"Blue Sheep"
94,"Blue Water Films"
95,"Bogalakon Pictures"
96,"Bonadea Sinema"
97,"Bosan Berisik Lab"
98,"Brainstorminc Entertainment"
99,"Brainstorminx"
100,"Brajamusti Films"
101,"Bravo Romeo Production"
102,"BrisicKzz Production"
103,"Bros Pictures"
104,"Bros Production"
105,"Buddy Buddy Pictures"
106,"Bukalapak Pictures"
107,"Bumble Bee Studio"
108,"Bumi Prasidi Bi-Epsi"
109,"Bumilangit Studios"
110,"Butterfly Pictures"
111,"Buttonijo Films"
112,"Cahaya Pictures"
113,"Cakra Film"
