"username","date_of_birth","city_origin"
"adrenilinmatt","1983-09-27","Semarang"
"richardjameshalstead","1995-11-09","Bekasi"
"thomasdewijs","1999-09-01","Batam"
"arianadara","1983-05-28","Jakarta"
"Miroslav-27","1998-02-24","Jakarta"
"lechihoanglonghiie","1988-01-28","Bekasi"
"bryanrichie-64973","1983-09-16","Bandung"
"hiraishinnojutsu","1998-03-19","Malang"
"RobbyA-06","1998-12-18","Makassar"
"paul_m_haakonsen","1983-06-03","Yogyakarta"
"D_RIVIEW","1984-03-17","Tangerang"
"evanyanitra","1995-09-24","Bogor"
"farhangpark-40-66371","1987-06-16","Padang"
"mayaagustini","1985-01-27","Semarang"
"felixnefa","1978-08-01","Jakarta"
"kanz-livpool","1974-11-06","Solo"
"borganteng","1998-12-19","Surabaya"
"chubbb34r","1986-03-16","Surabaya"
"bob the moo","1972-07-21","Bandung"
"Blue-Grotto","1974-06-28","Yogyakarta"
"locongbabi","1998-02-25","Bogor"
"nweights","1979-12-23","Jakarta"
"donkrishna-dk","1982-05-03","Tangerang"
"toomysteriousforyou","1982-07-25","Bekasi"
"nims-1975","1998-10-26","Bekasi"
"kevin_robbins","2003-04-03","Bekasi"
"tengkuaiez","1987-08-04","Jakarta"
"rosec-836","1990-02-28","Tangerang"
"baka_land","1978-05-22","Jakarta"
"ini_ynti-22457","1990-08-23","Medan"
"MadamWarden","1998-07-25","Jakarta"
"telorkawaii","1980-11-05","Solo"
"wsusilo","2000-04-22","Yogyakarta"
"setiawan-00534","1973-04-10","Jakarta"
"jenellenelson","1983-02-04","Solo"
"ajstuns","1986-04-18","Jakarta"
"phanthinga","1980-04-03","Makassar"
"awaldibachtiar","1984-12-16","Jakarta"
"samsp_","2001-11-09","Jakarta"
"AlfianFilmscape","1996-12-22","Pekanbaru"
"AnnabelleN-6","1980-01-17","Medan"
"GaawiinMashiNinibaasiin","1975-12-23","Depok"
"muhammadhanzlashoaib","1991-02-15","Semarang"
"dedymulyanto","1994-06-13","Pekanbaru"
"fahmiansyahs","2005-06-22","Makassar"
"hniecalista","1974-04-01","Solo"
"Screen_Blitz","1993-09-13","Jakarta"
"leiafternoon","1993-09-16","Tangerang"
"almasjr11","1980-03-28","Bekasi"
"dragonshit-94870","1986-10-19","Tangerang"
"SINGO-3","1992-09-01","Bogor"
"kim_smoltz","1995-01-16","Pekanbaru"
"erlanggarenggana-45980","2002-03-16","Semarang"
"muntazarmahdi","1996-01-14","Denpasar"
"teirahumaniora","1980-02-24","Jakarta"
"reizevanya","1987-10-28","Jakarta"
"aosleitores","1989-12-26","Solo"
